kecamatan,nama_lembaga_pkbm,npsn_lembaga,alamat
Kepulauan Seribu,PKBM Negeri 36 Pulau Harapan,P2967957,Pulau Harapan Rt.03/03
Kepulauan Seribu,PKBM Negeri 37 Pulau Untung Jawa,P9908823,Pulau Untung Jawa
Gambir,PKBM Negeri 15 Cideng,P2965963,Jl.Cimanuk No.3B Rt.016/01 Kel.Cideng
Tanah Abang,PKBM Negeri 02 Karet Tengsin,P2965971,Jl.Karet Pasar Baru Barat VII/17A
Tanah Abang,PKBM Negeri 23 Kebon Melati,P2965972,Jl.KH.Mas Mansyur No.92
Tanah Abang,PKBM Nurani Insani,P2965973,Jl.Petamburan III/4
Tanah Abang,PKBM Nusantara Bendungan Hilir,P9926239,Jl.Danau Toba No.44 Rt.03/07
Tanah Abang,PKBM Vicery,P9926238,Jl.Gatot Subroto Kav 35-39
Menteng,PKBM Cikini,P2965966,Jlaleh No.30
Menteng,PKBM Genta,P2965983,Jl.Tambak Raya No.104
Menteng,PKBM Pelita Hati,P2965964,Jl.Talang Ujung
Sawah Besar,PKBM Al-Islah,P29565965,Jl.Laksana No.300
Sawah Besar,PKBM LPPU Ajendam Jaya,P2965966,Jl.Perwira No.10
Sawah Besar,PKBM PANBI,P2965964,Jl.Mangga Besar XIII
Sawah Besar,PKBM STARS,P9925428,Jl.Samanhudi No.6 Pasar Baru
Cempaka Putih,PKBM Negeri 16 Rawasari,P2965967,Jl. Rawa Sari Timur 1/I Jakarta Pusat
Cempaka Putih,PKBM KPIN,P2965987,Jl.Percetakan Negera IX A
Cempaka Putih,PKBM PKBM Ristek Nusantara Jaya,P2965968,Jl.Percetakan Negara 7 No.1 Rt.011/01
Senen,PKBM Numatra,P9926232,Jl. Kampung Kepu No.21 A Rt.04 Rw.01
Senen,PKBM Budaya,P2965976,Jl. Pramuka Jati No.17
Senen,PKBM Winsor,P2965978,Jl.Kwitang Raya No.8 Gd.Sanatama Lt.3 Kwitang
Senen,PKBM Nusantara,P2965979,Jl. Kembangan III
Johar Baru,PKBM Bintang Bangsa,P9908732,Jl.Rawa Tengah No.1 Rt.13/05 Kel.Galu
Johar Baru,PKBM Cipta,P9908731,Jl.Rawa Selatan  Kel.Kp.Rawa
Johar Baru,PKBM Matahati,P2965985,Jl.Tanah Tinggi XII
Johar Baru,PKBM Mutiara,P2965970,Jl.Johar Baru Utara V No.48
Johar Baru,PKBM Harapan Islam,P2965969,Jl.Galur Jaya No.16
Kemayoran,PKBM Neger i01 Kebon Kosong,P2965974,Jl.Bunderan Kebon Kosong No.25
Kemayoran,PKBM Negeri 29 Cempaka Baru,P2965982,Jl.F3 Kompleks Listrik Serdang No.12
Kemayoran,PKBM Global Mandiri,P9908733,Jl.Bendungan Jago No.3A Rt.07/01 Utan Panjang
Kemayoran,PKBM Taman Siswa,P2965975,Jl.Garuda No.25
Jatinegara,PKBM Asah Asih Asuh,P2967205,Jl.Pembina I No.2
Jatinegera,PKBM Bunga Pala,P2967178,Jl.Kebon Pala I Tanah RenahRt.009/07
Jatinegara,PKBM Fizar,P2967171,Wedana Dalam
Jatinegara,PKBM Flamboyan,P2967204,Jl.Jatinegara Barat Kp.Pulo
Jatinegara,PKBM Jatinegara,P2967180,"J,.Kesadran INo.54"
Jatinegara,PKBM Khalifah,P9906202,l.Cipinang Lontar No.02
Jatinegara,PKBM Paksi Safa Kawijayan,P2967184,Cipinang Pulo Maja No.28
Jatinegara,PKBM Pandu Pelajar Mandiri,29908201,Jl.Raya Bekasi Timur No.170A Lapas Klas IIA
Jatinegara,PKBM Pemuda Creative Prima,P2967173,Jl.DI Panjaitan Gg.Remaja III
Jatinegara,PKBM Warga Mandiri,P9905547,Lapas Klas I Cipinang Jl.Raya Bekasi TimurNo.170
Duren Sawit,PKBM Amanah,P2967181,Jl.Delima III Blok kompleks Masjid Hifzul Amanah
Duren Sawit,PKBM Awaliyah Rohim,P2967186,Pertanian Tengah
Duren Sawit,PKBM Cipta Karya Intelektual,P2967153,Jl.Raden Inten II No.1
Duren Sawit,PKBM Mutiara Renjana,P9945772,Jl.Pahlawan Revolusi No.38
